platform	course_id	course_name	course_category
L	l-115431	Illustrator for Fashion Design: Drawing Flats in CS6 (2013)	[Uncategorized]
L	l-115432	Excel 2013: Shortcuts	Business Software and Tools
L	l-115433	Microsoft Project 2013 Essential Training	"Business Software and Tools, Project Management, Continuing Education (CEU)"
L	l-115468	PowerPoint 2013 Essential Training	Business Software and Tools
L	l-115857	Access 2013 Essential Training	"Business Software and Tools, Data Science, Database Management"
L	l-115859	Wedding Photography: Bridal Portraits	Photography
L	l-115862	Word 2013 Essential Training	Business Software and Tools
L	l-115863	Coaching and Developing Employees (2013)	[Uncategorized]
L	l-115864	Learning Basecamp 2	"Business Software and Tools, Project Management"
L	l-116350	CSS: Advanced Typographic Techniques	[Uncategorized]
L	l-116478	Excel 2013 Essential Training	Business Software and Tools
L	l-116952	Creating Projects for Interactive Data Visualization with Processing	"Data Science, Software Development"
L	l-117105	Learning Lighting: Natural Light	Photography
L	l-117141	Learning Studio One	Audio and Music
L	l-117536	InfoPath 2013 Essential Training	Business Software and Tools
L	l-117542	Creative Quick Tips	"Graphic Design, Small Business and Entrepreneurship"
L	l-117559	Bruce Heavin The Thinkable Presentation	[Uncategorized]
L	l-118954	Creating Surveys with HTML5	"Web Design, Web Development"
L	l-119000	Learning Cubase 7	[Uncategorized]
L	l-119002	Writing Articles	Professional Development
L	l-119006	Animation Foundations: Fundamentals	"Visualization and Real-Time, Animation and Illustration, Motion Graphics and VFX"
L	l-119010	Site Surveys for Video and Photo Projects	Video
L	l-119012	The Practicing Photographer	Photography
L	l-119110	"The Creative Spark: Stacey Williams-Ng, Interactive Book Designer"	[Uncategorized]
L	l-120261	Foundations of Video: The Art of Editing	Video
L	l-120466	Validating and Processing Forms with JavaScript and PHP	Web Development
L	l-120600	Ableton Live 9 Essential Training	Audio and Music
L	l-120601	Graphic Design Foundations: Color	[Uncategorized]
L	l-120606	Insights on Photojournalism	Photography
L	l-120612	Learning R (2013)	[Uncategorized]
L	l-120613	Ebooks: Distributing and Marketing	"Marketing, Graphic Design"
L	l-120897	Building Creative Organizations (2013)	[Uncategorized]
L	l-121679	SharePoint 2013 Essential Training	Business Software and Tools
L	l-121831	Travel Photography: Desert Road Trip	Photography
L	l-121832	Learning Visio 2013	Business Software and Tools
L	l-121906	Music Production Secrets: Larry Crane on Recording	Audio and Music
L	l-122427	UX Foundations: Information Architecture	User Experience
L	l-122428	Project Management: Iterative Methods	Project Management
L	l-122429	Project Management: Rescuing Troubled Projects	[Uncategorized]
L	l-122452	Learning Studio Lights and Flash Lighting	Photography
L	l-122457	Programming Foundations: Refactoring Code	Software Development
L	l-122460	Learning FL Studio	Audio and Music
L	l-122461	Programming Foundations: Code Efficiency	Software Development
L	l-122462	JavaScript: Enhancing the DOM	Web Development
L	l-122471	Leadership Foundations (2013)	[Uncategorized]
L	l-122474	Audition CC Essential Training	"Audio and Music, Video"
L	l-122927	Drupal 8 Essential Training: 2 Building Out Your Website	[Uncategorized]
L	l-122930	Word and InDesign: Integration	[Uncategorized]
L	l-122998	Pixel Playground	Animation and Illustration
L	l-123482	Learning Craft Photography	Photography
L	l-123486	Time-Lapse Photography Workshop	"Photography, Video"
L	l-123517	Photoshop CS6 for Photographers Quick Start	[Uncategorized]
L	l-123524	Learning Illustrator CS6	[Uncategorized]
L	l-123526	Premiere Pro CS6 for Avid and Final Cut Pro Editors	[Uncategorized]
L	l-123535	AutoCAD 2013: 3D	[Uncategorized]
L	l-123543	Creating an Architectural Drawing with AutoCAD 2013	"AEC, Product and Manufacturing"
L	l-123563	Learning the JavaScript Language (2012)	[Uncategorized]
L	l-123567	Learning PowerPoint 2010	[Uncategorized]
L	l-123569	Learning Excel 2010	Business Software and Tools
L	l-124071	Running a Design Business: Presentation Skills	"Professional Development, Graphic Design, Small Business and Entrepreneurship"
L	l-124073	Music Studio Setup and Acoustics	Audio and Music
L	l-124074	Learning Articulate Storyline	Training and Education
L	l-124075	Photoshop CC for Photographers: The Basics	Photography
L	l-124078	New Ways to Create Music with Logic Pro X	Audio and Music
L	l-124085	Having Difficult Conversations (2013)	[Uncategorized]
L	l-124087	Leading with Emotional Intelligence (2013)	[Uncategorized]
L	l-124092	Creating an Interactive Animated Timeline with jQuery	[Uncategorized]
L	l-124095	Learning Revit	[Uncategorized]
L	l-124100	Illustrator CC 2013 One-on-One: Fundamentals	"Animation and Illustration, Graphic Design"
L	l-124307	Creating Interactive Projects with Edge Animate	[Uncategorized]
L	l-124390	SOLIDWORKS 2013-2017: Sheet Metal Design	[Uncategorized]
L	l-124398	Programming Foundations: Test-Driven Development (2013)	[Uncategorized]
L	l-124401	Drawing Vector Graphics: Color and Detail	"Animation and Illustration, Graphic Design"
L	l-124552	Lighting with Flash: On Location from Close Up to Portrait	Photography
L	l-124553	Lighting with Flash: Capturing a Dancer in Motion	[Uncategorized]
L	l-124554	Lighting with Flash: Sports from Action to Portraits	[Uncategorized]
L	l-124556	Insights on Building a Photography Business	"Photography, Small Business and Entrepreneurship"
L	l-126067	Photoshop: Photo Optimization Techniques	[Uncategorized]
L	l-126121	Developing Ideas and Advertising Concepts	"Graphic Design, User Experience, Small Business and Entrepreneurship"
L	l-126129	Excel 2013: Advanced Formulas and Functions	"Business Software and Tools, Data Science"
L	l-126132	Management Tips	[Uncategorized]
L	l-129003	Designing a Resume	Graphic Design
L	l-129007	Creating a Responsive Presentation in HTML5	"Web Design, Web Development"
L	l-129010	Travel Photography: Seaside Road Trip	Photography
L	l-129012	Video Production: Promotional Videos	Video
L	l-129015	Video Production: Location Audio Recording	Video
L	l-129017	Pro Video Tips	Video
L	l-129018	Creating a Short Film: 01 Producing	Video
L	l-129021	Creating a Short Film: 04 Working with Actors	Video
L	l-129027	Creating a Short Film: 10 VFX Effects	[Uncategorized]
L	l-129028	Creating a Short Film: 11 Color Grading	[Uncategorized]
L	l-129915	"The Creative Spark: Von Glitschka, Illustrative Designer"	"Animation and Illustration, Graphic Design"
L	l-132718	Building Business Relationships (2013)	[Uncategorized]
L	l-133319	Ableton Push: Making Music	Audio and Music
L	l-133321	PHP: Creating Secure Websites	Web Development
L	l-133324	Rhino 5 Essential Training	[Uncategorized]
L	l-133326	Working with Data on the Web	"Web Design, Web Development"
L	l-133330	Programming Foundations: Web Security (2014)	[Uncategorized]
L	l-133337	Cinema 4D: Creating Materials	"Visualization and Real-Time, Animation and Illustration, Motion Graphics and VFX"
L	l-133341	Unity: Level Design	[Uncategorized]
L	l-133350	Leading Change (2013)	[Uncategorized]
L	l-133353	Coding Faster with Emmet	[Uncategorized]
L	l-134066	VFX Techniques: Creating Particle Effects	[Uncategorized]
L	l-134617	Learning Character Animation	Animation and Illustration
L	l-135095	Graphic Design Foundations: Layout and Composition	Graphic Design
L	l-135243	Illustrator: Symbols	[Uncategorized]
L	l-135358	Excel 2013: Charts in Depth	"Business Software and Tools, Data Science"
L	l-135360	Hype Quick Start	Web Design
L	l-135361	Learning Color Management	"Animation and Illustration, Graphic Design, Photography"
L	l-135362	Blender: Character Modeling	[Uncategorized]
L	l-135365	Programming Foundations: Design Patterns (2013)	[Uncategorized]
L	l-135367	Blackboard Essential Training	Training and Education
L	l-135374	Creating a Responsive HTML Email	"Web Design, Web Development"
L	l-135375	Creating a Responsive Web Experience	"User Experience, Web Design, Web Development"
L	l-135420	MYOB AccountRight Essential Training	"Business Software and Tools, Finance and Accounting"
L	l-135422	Product Photography: Jewelry	Photography
L	l-136695	Creating an Advanced Responsive Presentation in HTML5	"Web Design, Web Development"
L	l-137882	Installing SQL Server 2012	"Data Science, Software Development, Database Management"
L	l-137890	Mograph Techniques: Dynamic Falling Objects in Cinema 4D	[Uncategorized]
L	l-137892	Creative DSLR Video Techniques	Video
L	l-137908	Modeling Courageous Leadership: Intelligent Disobedience	Leadership and Management
L	l-138322	Creativity: Generate Ideas in Greater Quantity and Quality	"Graphic Design, User Experience"
L	l-139981	Project Management Foundations: Teams (2014)	[Uncategorized]
L	l-139985	Revit MEP 2014 Essential Training	AEC
L	l-139986	MySQL Essential Training (2014)	"Software Development, Database Management"
L	l-139989	Ruby on Rails 4 Essential Training	Web Development
L	l-139994	Data-Driven Presentations with Excel and PowerPoint 2013	Business Software and Tools
L	l-140778	Setting Up Your Mobile Office to Work from Anywhere	Business Software and Tools
L	l-140780	JavaScript: Events	[Uncategorized]
L	l-140844	UX Foundations: Making the Case for Usability Testing	User Experience
L	l-140846	Brooke Shaden's Conceptual Photography: Start to Finish	Photography
L	l-140920	Super Fans: The Future of the Music Industry	"Marketing, Audio and Music, Small Business and Entrepreneurship"
L	l-140922	Chris Korn's Digital Character Design: Start to Finish	[Uncategorized]
L	l-141134	Photoshop Retouching: Faces	Photography
L	l-141156	UX Foundations: Logic and Content	User Experience
L	l-141464	Office for Educators	Training and Education
L	l-141465	Teacher Tips	Training and Education
L	l-141499	The Art of Video Interviews	Video
L	l-141501	Communication Foundations (2013)	[Uncategorized]
L	l-141504	Audio and Music Production Careers: First Steps	"Audio and Music, Small Business and Entrepreneurship"
L	l-141796	Insights on Illustration with Craig Smallish	[Uncategorized]
L	l-142070	Management Foundations (2013)	"Leadership and Management, Continuing Education (CEU), Human Resources"
L	l-142444	Insights on Software Quality Engineering	Software Development
L	l-142447	R Statistics Essential Training	"Business Software and Tools, Data Science, Software Development"
L	l-142957	Stepping Up to Leadership	[Uncategorized]
L	l-142975	Live Sound Engineering Techniques: On Tour with Rush	Audio and Music
L	l-142989	Learning Bash Scripting	Network and System Administration
L	l-143180	Learning Web Semantics	[Uncategorized]
L	l-143323	InDesign: Data Merge and Database Publishing	Graphic Design
L	l-143325	Photoshop for Fashion Design: Rendering Techniques	[Uncategorized]
L	l-143328	Objective-C Essential Training	"Software Development, Mobile Development"
L	l-143455	Managing Your Time	Professional Development
L	l-144017	Learning the Adobe Pen Tool	"Animation and Illustration, Graphic Design"
L	l-144025	SharePoint Designer 2013: Custom Workflows	Business Software and Tools
L	l-144026	Drawing Vector Graphics: Patterns	Animation and Illustration
L	l-144197	Common Core: Exploring K-12 Standards	Training and Education
L	l-144198	Flipping the Classroom	Training and Education
L	l-144200	Mentoring Others	"Leadership and Management, Human Resources"
L	l-144201	Making Decisions	"Professional Development, Leadership and Management"
L	l-144768	Ableton Live 9: Programming Beats	[Uncategorized]
L	l-144779	Artist at Work: Complementary Colors	"Animation and Illustration, Graphic Design"
L	l-144854	Video Script Writing	Video
L	l-145210	Graphic Design for Business Professionals	"Professional Development, Leadership and Management"
L	l-145310	Balancing Work and Life	Professional Development
L	l-146013	Cinema 4D R15 New Features	[Uncategorized]
L	l-146014	Java: XML Integration	Software Development
L	l-146234	PHP for Web Designers	Web Development
L	l-147012	The 33 Laws of Typography	"Animation and Illustration, Graphic Design, Motion Graphics and VFX"
L	l-147020	MODO: Dynamics and Particles	"Visualization and Real-Time, Motion Graphics and VFX"
L	l-147021	PowerPoint: From Outline to Presentation (2013)	[Uncategorized]
L	l-147022	PowerPoint: Using Photos and Video Effectively for Great Presentations	"Business Software and Tools, Continuing Education (CEU)"
L	l-147030	SEO: Keyword Strategy (2014)	[Uncategorized]
L	l-147473	Leading a Customer-Centric Culture (2013)	[Uncategorized]
L	l-147532	Business Writing Principles	"Professional Development, Leadership and Management, Continuing Education (CEU)"
L	l-147535	Installing and Running WordPress: Shared Hosting (2013)	[Uncategorized]
L	l-148137	JavaScript: Functions	Web Development
L	l-148341	Insights on Graphic Design	[Uncategorized]
L	l-148342	Building Self-Confidence (2014)	[Uncategorized]
L	l-148421	Illustrator: Package Design	Graphic Design
L	l-148625	Influencing Others	"Professional Development, Leadership and Management, Continuing Education (CEU)"
L	l-148760	Business Storytelling with C.C. Chapman	"Professional Development, Leadership and Management, Marketing"
L	l-148766	The Traveling Photographer: The Basics	Photography
L	l-148767	The Traveling Photographer: Hong Kong	Photography
L	l-149119	Web Motion: Animate a CSS Sprite Sheet	[Uncategorized]
L	l-149121	Outlook Web App (OWA) 2013 Essential Training	Business Software and Tools
L	l-149122	Adobe Digital Publishing Suite Essential Training	Graphic Design
L	l-149204	Wayne Winston on Analytics	"Business Software and Tools, Data Science"
L	l-149250	Learning to Write Marketing Copy	"Professional Development, Marketing"
L	l-149290	Travel Photography: Geologging and Journaling on the Road	Photography
L	l-149835	Managing Team Creativity	"Professional Development, Leadership and Management"
L	l-149836	Delivering Employee Feedback (2014)	[Uncategorized]
L	l-149838	Learning to Run Webinars	"Professional Development, Training and Education, Leadership and Management, Marketing"
L	l-149839	Photo Essay: Telling a Family Story	Photography
L	l-150003	Embracing Change (2014)	Professional Development
L	l-150165	Learning Excel What-If Analysis	"Business Software and Tools, Data Science, Continuing Education (CEU)"
L	l-150348	Sony Vegas Production Workflow	Video
L	l-150541	Changing a Studio Background in Photoshop	Photography
L	l-151482	Learning MainStage 3	Audio and Music
L	l-151543	Creating an Amazing Life	Professional Development
L	l-151544	Creating and Giving Business Presentations	"Professional Development, Leadership and Management, Continuing Education (CEU)"
L	l-151550	Logic Pro X: Making Beats	Audio and Music
L	l-151707	Learning Cloud Service APIs	Software Development
L	l-151813	Writing Email	"Professional Development, Leadership and Management, Continuing Education (CEU)"
L	l-151814	Learning 3D Printing	Product and Manufacturing
L	l-152430	Technical Illustration: Creating a Cutaway	[Uncategorized]
L	l-153123	Business Innovation Foundations	"Professional Development, Leadership and Management, Marketing, Continuing Education (CEU)"
L	l-153125	Lighting Design for Video Productions	[Uncategorized]
L	l-153675	Learning Perfect Photo Suite 8	[Uncategorized]
L	l-153775	Excel Data Analysis: Forecasting	"Business Software and Tools, Data Science, Continuing Education (CEU)"
L	l-153776	Learning Data Visualization (2014)	[Uncategorized]
L	l-153829	Disrupting Yourself	"Professional Development, Career Development"
L	l-154420	Excel 2013: Macros	Business Software and Tools
L	l-155267	Mograph Techniques: Physics Simulations in After Effects	[Uncategorized]
L	l-155273	Artist at Work: Tertiary Colors	[Uncategorized]
L	l-155278	Artist at Work: Creating Depth of Field	"Animation and Illustration, Graphic Design"
L	l-155281	Learning Autodesk Backburner	"Visualization and Real-Time, Animation and Illustration, AEC, Motion Graphics and VFX, Product and Manufacturing"
L	l-155284	Programming Foundations: Programming for Kids	Software Development
L	l-155342	Solving Business Problems	"Professional Development, Leadership and Management, Project Management, Continuing Education (CEU)"
L	l-155976	SharePoint Designer 2013: Branding SharePoint Sites	Business Software and Tools
L	l-155977	Persuasive UX: Ethics of Persuasive Design	[Uncategorized]
L	l-156089	Writing Recommendations	"Professional Development, Leadership and Management, Career Development"
L	l-156150	Implementing a Data Warehouse with Microsoft SQL Server 2012	"Data Science, Software Development, Database Management"
L	l-156166	JavaScript: Templating	Web Development
L	l-156546	Business Analysis Foundations: Fundamentals (2014)	"Professional Development, Project Management, Continuing Education (CEU)"
L	l-156548	Breaking Out of a Rut	"Graphic Design, User Experience, Small Business and Entrepreneurship"
L	l-156584	Small Business Secrets	"Professional Development, Marketing, Small Business and Entrepreneurship"
L	l-156622	Learning Management Systems (LMS) Quick Start	Training and Education
L	l-156759	Learning Synth Programming	"Audio and Music, Video"
L	l-156769	Querying Microsoft SQL Server 2012	Database Management
L	l-157131	Leading with Stories (2014)	[Uncategorized]
L	l-157137	Developing Political Savvy	"Professional Development, Leadership and Management"
L	l-157138	Letting an Employee Go (2014)	[Uncategorized]
L	l-157139	Giving Your Elevator Pitch	"Professional Development, Leadership and Management, Small Business and Entrepreneurship, Career Development"
L	l-157140	Managing Your Manager	"Professional Development, Leadership and Management, Continuing Education (CEU)"
L	l-157227	Designing Icons for the Web	"User Experience, Web Design"
L	l-157305	Jonah Berger on Viral Marketing	"Marketing, Continuing Education (CEU)"
L	l-157341	Writing a Business Report	"Professional Development, Leadership and Management, Continuing Education (CEU)"
L	l-157347	Word for Mac 2016 Essential Training	Business Software and Tools
L	l-157510	Shooting with Blackmagic Cameras	[Uncategorized]
L	l-157514	Learning Tiffen Dfx	Photography
L	l-158318	Grammar Foundations	"Professional Development, Leadership and Management, Continuing Education (CEU)"
L	l-158319	Writing a Research Paper	"Professional Development, Training and Education, Continuing Education (CEU)"
L	l-158365	Introduction to Screencasting	Training and Education
L	l-158373	Learning MySQL Development	"Software Development, Web Development, Database Management"
L	l-158376	Artist at Work: From Sketch to Finished Vector Illustration	Animation and Illustration
L	l-158656	Big Data Foundations: Techniques and Concepts	"Data Science, Continuing Education (CEU)"
L	l-158663	Excel 2013: Managing Multiple Worksheets and Workbooks	"Business Software and Tools, Continuing Education (CEU)"
L	l-158666	Web Development Foundations: Web Technologies	Web Design
L	l-158769	Learning 2D Animation Principles	Animation and Illustration
L	l-158841	Drawing Foundations: Fundamentals	"Animation and Illustration, Graphic Design"
L	l-159186	Project Management Foundations: Quality	"Project Management, Continuing Education (CEU)"
L	l-159243	Unity 4: 2D Essential Training	"Animation and Illustration, Software Development"
L	l-159244	Excel for Mac 2016 Essential Training	Business Software and Tools
L	l-160064	Instructional Design: Storyboarding	Training and Education
L	l-160066	Photoshop Color Correction: Advanced Projects	[Uncategorized]
L	l-160069	After Effects Guru: Working with Vectors	[Uncategorized]
L	l-160107	Copyright for Photographers	[Uncategorized]
L	l-160114	Learning Chrome OS	Business Software and Tools
L	l-160270	Advanced Unity: 3D Game Programming	Software Development
L	l-160274	Designing an Infographic	Graphic Design
L	l-160362	Developing Your Leadership Philosophy	"Leadership and Management, Continuing Education (CEU)"
L	l-160363	Entrepreneurship: Raising Startup Capital	"Finance and Accounting, Continuing Education (CEU), Small Business and Entrepreneurship"
L	l-160698	iPhoto for iOS Essential Training	Photography
L	l-160818	Instructional Design: Working with SMEs	Training and Education
L	l-161053	Ideas that Resonate	"Graphic Design, User Experience"
L	l-161098	Bootstrap 3: Adding Interactivity to Your Site	[Uncategorized]
L	l-161315	OmniGraffle 6 Essential Training	Business Software and Tools
L	l-161317	Learning Songwriting: Logic Pro	Audio and Music
L	l-161521	Premiere Pro Guru: Customizing Workspaces	Video
L	l-161524	Cinema 4D: Dynamics	[Uncategorized]
L	l-161793	"Creative Spark: Grammar Girl, Changing Writing One Word at a Time"	"Professional Development, Leadership and Management"
L	l-161816	Learning Songwriting: GarageBand	[Uncategorized]
L	l-161976	PowerPoint: Builds Transitions Animations and Effects	"Business Software and Tools, Continuing Education (CEU)"
L	l-162135	Real-World GIS	"AEC, Data Science"
L	l-162137	Code Clinic: PHP	"Software Development, Web Development"
L	l-162138	Productivity Tips for Web Designers	"Web Design, Small Business and Entrepreneurship"
L	l-162139	Code Clinic: C++ (2014)	[Uncategorized]
L	l-162140	Quicken 2014 Essential Training	Business Software and Tools
L	l-162272	Financial Analysis: Introduction to Business Performance Analysis	"Professional Development, Project Management, Continuing Education (CEU)"
L	l-162274	Financial Analysis: Making Business Projections	"Finance and Accounting, Continuing Education (CEU)"
L	l-162276	GitHub for Web Designers	Web Development
L	l-162446	The Six Biases of Decision-Making	[Uncategorized]
L	l-162447	Managing for Results (2014)	[Uncategorized]
L	l-162455	Entrepreneurship Foundations (2014)	"Finance and Accounting, Continuing Education (CEU), Small Business and Entrepreneurship"
L	l-162702	Persuasive UX: The Power of Self-Image	[Uncategorized]
L	l-162719	AWK Essential Training	"Network and System Administration, Software Development, Continuing Education (CEU)"
L	l-162943	frog's FEMA Disaster Relief Innovation	"Graphic Design, User Experience"
L	l-163064	Managing Documents with SharePoint 2013	[Uncategorized]
L	l-163066	Learning Virtualization	Network and System Administration
L	l-163067	Premiere Pro Guru: Video Finishing Techniques	"Motion Graphics and VFX, Video"
L	l-163089	Learning Backbone.js	Web Development
L	l-163090	Waves Plug-ins: Mixing Techniques	[Uncategorized]
L	l-163091	Photography 101: Shooting in Low Light	Photography
L	l-163241	Learning Stop Motion Animation	Video
L	l-163414	Google Sheets Essential Training	Business Software and Tools
L	l-163415	Learning Adobe Reports and Analytics	"Marketing, Continuing Education (CEU)"
L	l-163416	Imaging and Deploying Macintosh Computers	"Network and System Administration, IT Help Desk"
L	l-163417	Learning Apple Remote Desktop	IT Help Desk
L	l-163418	Insights on Automotive Design with Veejay Gahir	[Uncategorized]
L	l-163609	Time-Lapse Video: Nighttime	Photography
L	l-163610	Time-Lapse Video: High-Dynamic Range (HDR)	Photography
L	l-163751	Windows Server 2012: Installation and Configuration	Network and System Administration
L	l-163952	Running a Web Design Business: Defining Your Business Structure	"Web Design, Small Business and Entrepreneurship"
L	l-164026	Designing a Replacement Part using 3D printing	Product and Manufacturing
L	l-164027	Photography 101: Shooting Macros and Close-Ups	Photography
L	l-164143	Code Clinic: Ruby	Software Development
L	l-164144	21-Day Drawing Challenge	"Animation and Illustration, Graphic Design"
L	l-164457	C Essential Training (2014)	[Uncategorized]
L	l-164461	EDM Production Techniques: Drums	Audio and Music
L	l-164983	Apache Web Server: Administration	Web Development
L	l-164990	Home Techonomics	Business Software and Tools
L	l-165352	Photoshop: Working with Perspective	[Uncategorized]
L	l-165438	Learning Excel Cluster Analysis	"Business Software and Tools, Data Science"
L	l-165441	iMovie for iOS Essential Training	Video
L	l-165443	Instructional Design: Creating Video Training	Training and Education
L	l-165496	Onboarding New Hires (2014)	[Uncategorized]
L	l-165497	Managing Stress (2014)	Professional Development
L	l-165498	AutoCAD MEP Essential Training	[Uncategorized]
L	l-165499	Draw Better and Faster with Illustrator CC	[Uncategorized]
L	l-165500	Designing Your Own Online Avatar	Animation and Illustration
L	l-165607	Designing a Retro-Style Superhero	Animation and Illustration
L	l-165609	Entrepreneurship: Bootstrapping Your Business (2015)	[Uncategorized]
L	l-165636	Understanding Intellectual Property	"Professional Development, Continuing Education (CEU)"
L	l-165644	Office Workshop	[Uncategorized]
L	l-165645	Storytelling for Designers	"Graphic Design, User Experience"
L	l-166508	SketchUp for Interior Design	AEC
L	l-166511	Access 2013: Queries	"Business Software and Tools, Data Science, Software Development, Database Management"
L	l-166762	Video Gear	[Uncategorized]
L	l-166781	Learning Graphic Design History	"Graphic Design, User Experience"
L	l-166782	Learning OpenGL	Software Development
L	l-166841	Teaching Techniques: Classroom Management	Training and Education
L	l-166843	Learning Mac OS X Troubleshooting	[Uncategorized]
L	l-166969	Creating Ebooks for the Kindle	Graphic Design
L	l-167027	Executive Leadership	"Professional Development, Leadership and Management, Continuing Education (CEU)"
L	l-167028	Building High-Performance Teams	"Professional Development, Leadership and Management, Continuing Education (CEU)"
L	l-167066	Speeding Up Your Home PC for Beginners	[Uncategorized]
L	l-167068	Learning Typing (2014)	"Professional Development, Business Software and Tools, Continuing Education (CEU)"
L	l-167069	Managing a Customer Service Team	"Customer Service, Continuing Education (CEU)"
L	l-167070	Learning Digital Painting	"Animation and Illustration, Graphic Design"
L	l-167073	Word 2013: Creating Long Documents	[Uncategorized]
L	l-167361	Excel 2013 Tips and Tricks	Business Software and Tools
L	l-167374	Jeffrey Zeldman: 20 years of Web Design and Community	Web Design
L	l-167465	Keynote 6: Delivering Presentations	"Business Software and Tools, Continuing Education (CEU)"
L	l-167565	After Effects: 3D Typography	[Uncategorized]
L	l-167568	After Effects Tips and Techniques: Compositing and Effects	[Uncategorized]
L	l-167569	"After Effects Tips and Techniques: Shapes, Text Masks, and Path Effects"	[Uncategorized]
L	l-167572	After Effects Guru: Animating Typography	[Uncategorized]
L	l-167917	Creating a PSA Commercial	Video
L	l-167919	Creating a One-Page Scrollable Website in Muse	Web Design
L	l-167921	Performing with Ableton Live: On Stage with St. Vincent	Audio and Music
L	l-167922	Learning C++ (2014)	[Uncategorized]
